name;residuals-runtime;residuals-parsing;residuals-residuals
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.15; 0.156332; 0.0035
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.09; 0.0951523; 0.0031
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.18; 0.19025; 0.0050
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.08; 0.0921247; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;1.67; 1.69081; 0.0512
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.08; 0.0931143; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.22; 0.207635; 0.0051
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.1; 0.0946917; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.2; 0.199933; 0.0057
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.08; 0.0886397; 0.0028
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.23; 0.221401; 0.0054
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.09; 0.0932259; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.19; 0.187252; 0.0050
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.09; 0.0904538; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00240386; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.09; 0.0917804; 0.0026
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.29; 0.281027; 0.0081
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.09; 0.0946068; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.24; 0.227306; 0.0055
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.08; 0.0905377; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.28; 0.272931; 0.0067
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.08; 0.0909321; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.28; 0.266377; 0.0064
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.08; 0.0910787; 0.0035
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.26; 0.262034; 0.0068
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.09; 0.0928843; 0.0028
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.03; 0.0306137; 0.0010
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.09; 0.0955111; 0.0029
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.28; 0.279591; 0.0065
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.1; 0.0946157; 0.0050
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00114167; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.1; 0.0975183; 0.0028
