name;brzozowski-runtime;brzozowski-parsing;brzozowski-Brzozowski
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.32; 0.307295; 0.0014
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.00116981; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.12; 0.115839; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;2.05; 2.17047; 0.0585
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.12; 0.128989; 0.0024
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.000507093; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.11; 0.114678; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;0.15; 0.152874; 0.0030
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.11; 0.115351; 0.0041
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.19; 0.185456; 0.0035
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.11; 0.112906; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.31; 0.308983; 0.0050
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.13; 0.148979; 0.0035
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;2.4; 2.41797; 0.0612
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.12; 0.14145; 0.0026
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.29; 0.304113; 0.0078
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.11; 0.115988; 0.0039
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.26; 0.246452; 0.0092
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.11; 0.117244; 0.0026
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.32; 0.336207; 0.0119
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.14; 0.135932; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.29; 0.292859; 0.0110
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.13; 0.162576; 0.0135
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00224357; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.2; 0.209594; 0.0133
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.47; 0.496483; 0.0091
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.14; 0.136747; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.28; 0.267895; 0.0054
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.12; 0.116977; 0.0040
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.44; 0.444399; 0.0061
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.1; 0.100533; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.34; 0.330395; 0.0076
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.12; 0.137108; 0.0069
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.32; 0.315269; 0.0137
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.13; 0.151993; 0.0028
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.03; 0.0317219; 0.0017
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.11; 0.102591; 0.0033
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.34; 0.331211; 0.0064
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.12; 0.117197; 0.0029
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.0014961; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.12; 0.118921; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00139302; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.11; 0.104994; 0.0026
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;0.99; 0.98461; 0.0255
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.14; 0.138108; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;0.98; 0.986198; 0.0324
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.15; 0.143788; 0.0043
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.1; 0.10393; 0.0019
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.14; 0.145713; 0.0107
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.13; 0.120376; 0.0058
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.13; 0.160985; 0.0026
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;2.34; 2.23069; 0.0888
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00117256; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;2.28; 2.26283; 0.1019
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.05; 0.0511609; 0.0008
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;2.15; 2.10087; 0.0691
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.11; 0.108934; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;1.97; 1.93485; 0.0566
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.05; 0.0510398; 0.0008
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;2.05; 2.01603; 0.0869
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.00051752; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;2.02; 1.92456; 0.0615
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.11; 0.103922; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;2.55; 2.47109; 0.1049
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.11; 0.106128; 0.0025
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;2.17; 2.10933; 0.0627
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.13; 0.131844; 0.0028
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;2.16; 2.09188; 0.0638
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00272607; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;2.13; 2.07725; 0.0600
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.04; 0.0414009; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;2.16; 2.06262; 0.0574
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.00139869; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;2.52; 2.55844; 0.0493
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00154521; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;2.01; 2.22527; 0.0531
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.94; 0.895882; 0.0332
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;2.56; 2.58847; 0.0958
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.88; 0.843317; 0.0330
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;2.08; 2.04679; 0.0501
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000514137; 0.0022
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;2.58; 2.66044; 0.0671
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00193349; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;2.15; 2.08835; 0.0588
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000503446; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;2.01; 2.163; 0.0690
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.01; 0.00748517; 0.0005
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;1.99; 1.94592; 0.0537
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.00194261; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;2.08; 2.07955; 0.0626
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.01; 0.00857426; 0.0003
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;1.89; 2.12109; 0.0487
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.04; 0.0380606; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;2.61; 2.56278; 0.0889
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.0125496; 0.0003
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;2.53; 2.54617; 0.0530
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.11; 0.112167; 0.0020
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;2.09; 2.04495; 0.0504
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.03; 0.0318459; 0.0008
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;2.01; 2.02663; 0.0528
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.12; 0.125402; 0.0033
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.99; 2.08984; 0.0647
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.8; 1.81748; 0.0763
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata;1.7; 1.72191; 0.0466
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;1.73; 1.78311; 0.0509
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;1.97; 1.91572; 0.0617
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;2.12; 2.58824; 0.0578
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;1.98; 2.1525; 0.0617
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;2.05; 2.05936; 0.0624
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-lhs.mata;0.32; 0.337964; 0.0058
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-rhs.mata;0.31; 0.309043; 0.0037
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-lhs.mata;0.32; 0.368542; 0.0047
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-rhs.mata;0.3; 0.343707; 0.0048
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-4-lhs.mata;0.37; 0.368441; 0.0069
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-4-rhs.mata;0.38; 0.396051; 0.0065
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.85; 1.75179; 0.1050
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.95; 2.01284; 0.1102
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata;2.71; 2.68648; 0.0957
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;1.99; 1.8633; 0.1099
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;2.12; 2.02777; 0.0770
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;2.74; 2.74866; 0.0800
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;2.66; 2.66599; 0.0820
